"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1985","totalpop1990","totalpop1995","totalpop2000","totalpop2005","totalpop2010","totalpop2015","totalpop2020"
"43513","Kuma-mura, Kuma-gun, Kumamoto","熊本県 球磨郡 球磨村","6984","6726","6150","5665","5201","4786","4249","3698","2433"
"43514","Asagiri-cho, Kuma-gun, Kumamoto","熊本県 球磨郡 あさぎり町","19524","19535","18968","18533","17751","17300","16638","15523","14676"
"43531","Reihoku-machi, Amakusa-gun, Kumamoto","熊本県 天草郡 苓北町","10897","10621","9916","9613","9436","8927","8314","7739","7114"
"44201","Oita-shi, Oita","大分県 大分市","385635","413622","429927","446581","454424","462317","474094","478146","475614"
"44202","Beppu-shi, Oita","大分県 別府市","136485","134775","130334","128255","126523","126959","125385","122138","115321"
"44203","Nakatsu-shi, Oita","大分県 中津市","85963","87736","86965","86679","85617","84368","84312","83965","82863"
"44204","Hita-shi, Oita","大分県 日田市","83880","83655","81580","79776","77369","74165","70940","66523","62657"
"44205","Saiki-shi, Oita","大分県 佐伯市","96534","95907","91217","88116","84449","80297","76951","72211","66851"
"44206","Usuki-shi, Oita","大分県 臼杵市","51302","51086","48754","46830","45486","43352","41469","38748","36158"
"44207","Tsukumi-shi, Oita","大分県 津久見市","30454","28836","26797","24848","23164","21456","19917","17969","16100"
"44208","Taketa-shi, Oita","大分県 竹田市","36011","34693","32398","30368","28689","26534","24423","22332","20332"
"44209","Bungotakada-shi, Oita","大分県 豊後高田市","30705","29812","28798","27337","26206","25114","23906","22853","22112"
"44210","Kitsuki-shi, Oita","大分県 杵築市","35066","34816","34095","33370","33363","33567","32083","30185","27999"
"44211","Usa-shi, Oita","大分県 宇佐市","67811","67960","65541","63819","62349","60809","59008","56258","52771"
"44212","Bungoono-shi, Oita","大分県 豊後大野市","51975","50011","47034","45191","43371","41548","39452","36584","33695"
"44213","Yufu-shi, Oita","大分県 由布市","34708","35945","35119","34773","35248","35386","34702","34262","32772"
"44214","Kunisaki-shi, Oita","大分県 国東市","40504","39784","37771","36253","35425","34206","32002","28647","26232"
"44322","Himeshima-mura, Higashikunisaki-gun, Oita","大分県 東国東郡 姫島村","3234","3261","3268","2996","2761","2469","2189","1991","1725"
"44341","Hiji-machi, Hayami-gun, Oita","大分県 速見郡 日出町","21464","22564","23589","24433","26142","27640","28221","28058","27723"
"44461","Kokonoe-machi, Kusu-gun, Oita","大分県 玖珠郡 九重町","14407","13672","12848","12022","11566","11108","10421","9645","8541"
"44462","Kusu-machi, Kusu-gun, Oita","大分県 玖珠郡 玖珠町","22775","22079","20907","19659","18988","18276","17054","15823","14386"
"45201","Miyazaki-shi, Miyazaki","宮崎県 宮崎市","329751","349465","365080","384391","392178","395593","400583","401138","401339"
"45202","Miyakonojo-shi, Miyazaki","宮崎県 都城市","172655","175728","172593","174054","171812","170955","169602","165029","160640"
"45203","Nobeoka-shi, Miyazaki","宮崎県 延岡市","154881","153835","146989","141751","139176","135182","131182","125159","118394"
"45204","Nichinan-shi, Miyazaki","宮崎県 日南市","72785","71535","68176","65809","63421","60914","57689","54090","50848"
"45205","Kobayashi-shi, Miyazaki","宮崎県 小林市","52762","53753","53480","52828","51697","49820","48270","46221","43670"
"45206","Hyuga-shi, Miyazaki","宮崎県 日向市","64948","65547","64431","64341","64186","63555","63223","61761","59629"
"45207","Kushima-shi, Miyazaki","宮崎県 串間市","29420","28328","26734","25243","23647","22118","20453","18779","16822"
"45208","Saito-shi, Miyazaki","宮崎県 西都市","37836","38370","37218","36331","35381","34087","32614","30683","28610"
"45209","Ebino-shi, Miyazaki","宮崎県 えびの市","27246","28034","26826","25872","24906","23079","21606","19538","17638"
"45341","Mimata-cho, Kitamorokata-gun, Miyazaki","宮崎県 北諸県郡 三股町","17713","18832","21011","22941","24056","24545","24800","25404","25591"
"45361","Takaharu-cho, Nishimorokata-gun, Miyazaki","宮崎県 西諸県郡 高原町","12579","12455","11984","11619","11254","10623","10000","9300","8639"
"45382","Kunitomi-cho, Higashimorokata-gun, Miyazaki","宮崎県 東諸県郡 国富町","19864","21161","21339","22130","22367","21692","20909","19606","18398"
"45383","Aya-cho, Higashimorokata-gun, Miyazaki","宮崎県 東諸県郡 綾町","7261","7309","7385","7419","7596","7478","7224","7345","6934"
"45401","Takanabe-cho, Koyu-gun, Miyazaki","宮崎県 児湯郡 高鍋町","22950","23239","22970","22886","22748","22522","21733","21025","19922"
"45402","Shintomi-cho, Koyu-gun, Miyazaki","宮崎県 児湯郡 新富町","17220","18053","18085","18037","19058","18608","18092","17373","16564"
"45403","Nishimera-son, Koyu-gun, Miyazaki","宮崎県 児湯郡 西米良村","2153","1989","1694","1543","1480","1307","1241","1089","1000"
"45404","Kijo-cho, Koyu-gun, Miyazaki","宮崎県 児湯郡 木城町","5857","6101","5871","5727","5759","5531","5177","5231","4895"
"45405","Kawaminami-cho, Koyu-gun, Miyazaki","宮崎県 児湯郡 川南町","18026","18480","18371","18053","17630","17323","17009","16109","15194"
"45406","Tsuno-cho, Koyu-gun, Miyazaki","宮崎県 児湯郡 都農町","13486","13859","13229","12618","12321","11811","11137","10391","9906"
"45421","Kadogawa-cho, Higashiusuki-gun, Miyazaki","宮崎県 東臼杵郡 門川町","18533","18941","18894","19155","19287","19207","18854","18183","17379"
"45429","Morotsuka-son, Higashiusuki-gun, Miyazaki","宮崎県 東臼杵郡 諸塚村","3470","3212","2917","2687","2402","2119","1882","1739","1486"
"45430","Shiiba-son, Higashiusuki-gun, Miyazaki","宮崎県 東臼杵郡 椎葉村","5478","5131","4611","4160","3769","3478","3092","2808","2503"
"45431","Misato-cho, Higashiusuki-gun, Miyazaki","宮崎県 東臼杵郡 美郷町","10709","9855","8984","8251","7509","6874","6248","5480","4826"
"45441","Takachiho-cho, Nishiusuki-gun, Miyazaki","宮崎県 西臼杵郡 高千穂町","19957","19170","18093","16780","15843","14778","13723","12755","11642"
"45442","Hinokage-cho, Nishiusuki-gun, Miyazaki","宮崎県 西臼杵郡 日之影町","8013","7353","6550","5928","5445","5031","4463","3946","3635"
"45443","Gokase-cho, Nishiusuki-gun, Miyazaki","宮崎県 西臼杵郡 五ヶ瀬町","6034","5808","5392","5265","5079","4812","4427","3887","3472"
"46201","Kagoshima-shi, Kagoshima","鹿児島県 鹿児島市","547756","574672","582252","594430","601693","604367","605846","599814","593128"
"46203","Kanoya-shi, Kagoshima","鹿児島県 鹿屋市","100005","102653","103761","105059","106462","106208","105070","103608","101096"
"46204","Makurazaki-shi, Kagoshima","鹿児島県 枕崎市","30060","30099","28794","27640","26317","25150","23638","22046","20033"
"46206","Akune-shi, Kagoshima","鹿児島県 阿久根市","29527","29185","27869","27506","26270","25072","23154","21198","19270"
"46208","Izumi-shi, Kagoshima","鹿児島県 出水市","57279","58402","57962","58655","58460","57907","55621","53758","51994"
"46210","Ibusuki-shi, Kagoshima","鹿児島県 指宿市","55140","54781","52292","50529","48750","46822","44396","41831","39011"
"46213","Nishinomote-shi, Kagoshima","鹿児島県 西之表市","23537","22692","20952","19822","18866","18198","16951","15967","14708"
"46214","Tarumizu-shi, Kagoshima","鹿児島県 垂水市","24179","23504","22264","20933","20107","18928","17248","15520","13819"
"46215","Satsumasendai-shi, Kagoshima","鹿児島県 薩摩川内市","102143","108105","106432","106737","105464","102370","99589","96076","92403"
"46216","Hioki-shi, Kagoshima","鹿児島県 日置市","52022","53025","52675","52791","53391","52411","50822","49249","47153"
"46217","So-shi, Kagoshima","鹿児島県 曽於市","49060","48869","47492","46328","44910","42287","39221","36557","33310"
"46218","Kirishima-shi, Kagoshima","鹿児島県 霧島市","102157","109929","116247","122279","127912","127309","127487","125857","123135"
"46219","Ichikikushikino-shi, Kagoshima","鹿児島県 いちき串木野市","38377","37878","36790","35534","34266","32993","31144","29282","27490"
"46220","Minamisatsuma-shi, Kagoshima","鹿児島県 南さつま市","52604","50871","48113","45845","43979","41677","38704","35439","32887"
"46221","Shibushi-shi, Kagoshima","鹿児島県 志布志市","38404","38387","37316","36694","35966","34770","33034","31479","29329"
"46222","Amami-shi, Kagoshima","鹿児島県 奄美市","60052","60455","56026","53410","51898","49617","46121","43156","41390"
"46223","Minamikyushu-shi, Kagoshima","鹿児島県 南九州市","50261","49189","47498","45792","44137","42191","39065","36352","33080"
"46224","Isa-shi, Kagoshima","鹿児島県 伊佐市","38310","37483","36146","35007","33508","31499","29304","26810","24453"
"46225","Aira-shi, Kagoshima","鹿児島県 姶良市","62992","66830","68789","71762","73640","74840","74809","75173","76348"
"46303","Mishima-mura, Kagoshima-gun, Kagoshima","鹿児島県 鹿児島郡 三島村","619","552","503","513","500","462","418","407","405"
"46304","Toshima-mura, Kagoshima-gun, Kagoshima","鹿児島県 鹿児島郡 十島村","903","787","790","776","756","673","657","756","740"
"46392","Satsuma-cho, Satsuma-gun, Kagoshima","鹿児島県 薩摩郡 さつま町","30650","30284","29063","28141","27331","25688","24109","22400","20243"
"46404","Nagashima-cho, Izumi-gun, Kagoshima","鹿児島県 出水郡 長島町","14840","14440","13801","13185","12552","11958","11105","10431","9705"
"46452","Yusui-cho, Aira-gun, Kagoshima","鹿児島県 姶良郡 湧水町","13982","13792","13851","13537","13237","12566","11595","10327","9119"
"46468","Osaki-cho, So-gun, Kagoshima","鹿児島県 曽於郡 大崎町","17527","17689","16828","16480","16018","15303","14215","13241","12385"
"46482","Higashikushira-cho, Kimotsuki-gun, Kagoshima","鹿児島県 肝属郡 東串良町","8440","8254","8119","7868","7530","7122","6802","6530","6237"
"46490","Kinko-cho, Kimotsuki-gun, Kagoshima","鹿児島県 肝属郡 錦江町","13829","13043","12239","11608","10889","10015","8987","7923","6944"
